t_s,r
8.915000000000000924e+00,9.701896563545614471e-01
8.916000000000000369e+00,9.701995457995047367e-01
8.916999999999999815e+00,9.702094497424513797e-01
8.918000000000001037e+00,9.702193687534456101e-01
8.919000000000000483e+00,9.702293030596411683e-01
8.919999999999999929e+00,9.702392530439972740e-01
8.920999999999999375e+00,9.702492192234479784e-01
8.922000000000000597e+00,9.702592018909078631e-01
8.923000000000000043e+00,9.702692017456272522e-01
8.923999999999999488e+00,9.702792192073397270e-01
8.925000000000000711e+00,9.702892541814742700e-01
8.926000000000000156e+00,9.702993071889302046e-01
8.926999999999999602e+00,9.703093783608958134e-01
8.928000000000000824e+00,9.703194679764597375e-01
8.929000000000000270e+00,9.703295764301044235e-01
8.929999999999999716e+00,9.703397038054543122e-01
8.931000000000000938e+00,9.703498505661278806e-01
8.932000000000000384e+00,9.703600167587548286e-01
8.932999999999999829e+00,9.703702028853949946e-01
8.934000000000001052e+00,9.703804091222485440e-01
8.935000000000000497e+00,9.703906354690955416e-01
8.935999999999999943e+00,9.704008823503611492e-01
8.936999999999999389e+00,9.704111497359849681e-01
8.938000000000000611e+00,9.704214381477682672e-01
8.939000000000000057e+00,9.704317473298280650e-01
8.939999999999999503e+00,9.704420775454277726e-01
8.941000000000000725e+00,9.704524287484231904e-01
8.942000000000000171e+00,9.704628010665932170e-01
8.942999999999999616e+00,9.704731943912192627e-01
8.944000000000000838e+00,9.704836089831175849e-01
8.945000000000000284e+00,9.704940447611768439e-01
8.945999999999999730e+00,9.705045017604740920e-01
8.947000000000000952e+00,9.705149801979092716e-01
8.948000000000000398e+00,9.705254799156139978e-01
8.948999999999999844e+00,9.705360009413772637e-01
8.950000000000001066e+00,9.705465428972188668e-01
8.951000000000000512e+00,9.705571060570092889e-01
8.951999999999999957e+00,9.705676904248181636e-01
8.952999999999999403e+00,9.705782955012657309e-01
8.954000000000000625e+00,9.705889216252225893e-01
8.955000000000000071e+00,9.705995684863398809e-01
8.955999999999999517e+00,9.706102358693404764e-01
8.957000000000000739e+00,9.706209238607704792e-01
8.958000000000000185e+00,9.706316322578736333e-01
