t,J,phi,r
7.857000000000000206e+00,4.224485290667965298e-01,-6.995412983853285631e-03,9.446790834711570328e-01
7.858000000000000540e+00,4.176139794538280547e-01,-7.063673164129822060e-03,9.447068541419396670e-01
7.858999999999999986e+00,4.128053676551263207e-01,-7.131490940439978374e-03,9.447346197194217421e-01
7.860000000000000320e+00,4.080375070484433264e-01,-7.198870827509170137e-03,9.447623814750458759e-01
7.860999999999999766e+00,4.033250777983334867e-01,-7.265817301295004506e-03,9.447901402183879194e-01
7.862000000000000099e+00,3.986826093447800590e-01,-7.332334784288417444e-03,9.448178973575311890e-01
7.863000000000000433e+00,3.941244630731012277e-01,-7.398427630965005893e-03,9.448456542853800322e-01
7.863999999999999879e+00,3.896648151832591833e-01,-7.464100113403926429e-03,9.448734118973888263e-01
7.865000000000000213e+00,3.853176397765364358e-01,-7.529356407091609624e-03,9.449011717506980990e-01
7.866000000000000547e+00,3.810966921771346549e-01,-7.594200576927201060e-03,9.449289353521247437e-01
7.866999999999999993e+00,3.770154925064950757e-01,-7.658636563446530668e-03,9.449567039951022318e-01
7.868000000000000327e+00,3.730873095271685091e-01,-7.722668169281055560e-03,9.449844784416552290e-01
7.868999999999999773e+00,3.693251447733948978e-01,-7.786299045868026389e-03,9.450122601484540752e-01
7.870000000000000107e+00,3.657417169849029315e-01,-7.849532680427807191e-03,9.450400503413466380e-01
7.871000000000000441e+00,3.623494468604214758e-01,-7.912372383223965563e-03,9.450678505487742909e-01
7.871999999999999886e+00,3.591604421466108032e-01,-7.974821275121449921e-03,9.450956619685186855e-01
7.873000000000000220e+00,3.561864830782188740e-01,-8.036882275457846170e-03,9.451234859816841638e-01
7.874000000000000554e+00,3.534390081847942899e-01,-8.098558090242300236e-03,9.451513236374748939e-01
7.875000000000000000e+00,3.509291004787287727e-01,-8.159851200696401421e-03,9.451791762602019809e-01
7.876000000000000334e+00,3.486674740390173222e-01,-8.220763852150873158e-03,9.452070449116605211e-01
7.876999999999999780e+00,3.466644610051859976e-01,-8.281298043311556903e-03,9.452349309596697058e-01
7.878000000000000114e+00,3.449299989947719469e-01,-8.341455515907770721e-03,9.452628357248397117e-01
7.879000000000000448e+00,3.434736189576116372e-01,-8.401237744735653989e-03,9.452907602490446815e-01
7.879999999999999893e+00,3.423044334798300836e-01,-8.460645928108714159e-03,9.453187060123823260e-01
7.881000000000000227e+00,3.414311255498334585e-01,-8.519680978727375148e-03,9.453466736924553970e-01
7.882000000000000561e+00,3.408619377980220966e-01,-8.578343514978719817e-03,9.453746648487858506e-01
7.883000000000000007e+00,3.406046622218446007e-01,-8.636633852677350065e-03,9.454026807011822742e-01
7.884000000000000341e+00,3.406666304068051154e-01,-8.694551997257613310e-03,9.454307223405652438e-01
7.884999999999999787e+00,3.410547042538893958e-01,-8.752097636427062441e-03,9.454587908808829155e-01
7.886000000000000121e+00,3.417752672233134170e-01,-8.809270133290495949e-03,9.454868873839304966e-01
7.887000000000000455e+00,3.428342161037630786e-01,-8.866068519953316032e-03,9.455150130759909510e-01
7.887999999999999901e+00,3.442369533159884698e-01,-8.922491491612555628e-03,9.455431689164958131e-01
7.889000000000000234e+00,3.459883797590378451e-01,-8.978537401143278293e-03,9.455713563325481852e-01
7.890000000000000568e+00,3.480928882065853491e-01,-9.034204254187569103e-03,9.455995763515494534e-01
7.891000000000000014e+00,3.505543572606966141e-01,-9.089489704752755361e-03,9.456278297867162230e-01
7.892000000000000348e+00,3.533761458694373303e-01,-9.144391051324926925e-03,9.456561178301614579e-01
7.892999999999999794e+00,3.565610884142651482e-01,-9.198905233503338469e-03,9.456844417778701439e-01
7.894000000000000128e+00,3.601114903726737593e-01,-9.253028829160566543e-03,9.457128027775675294e-01
7.895000000000000462e+00,3.640291245608384685e-01,-9.306758052132876186e-03,9.457412017783355385e-01
7.895999999999999908e+00,3.683152279603377766e-01,-9.360088750444512870e-03,9.457696394182398825e-01
7.897000000000000242e+00,3.729704991327460473e-01,-9.413016405069191475e-03,9.457981169460170090e-01
7.898000000000000576e+00,3.779950962249407631e-01,-9.465536129231358342e-03,9.458266355266570224e-01
7.899000000000000021e+00,3.833886355675852897e-01,-9.517642668249264720e-03,9.458551961309098477e-01
7.900000000000000355e+00,3.891501908684873445e-01,-9.569330399921287950e-03,9.458837995725907222e-01
7.900999999999999801e+00,3.952782930021033758e-01,-9.620593335456324377e-03,9.459124469187000228e-01
7.902000000000000135e+00,4.017709303957160971e-01,-9.671425120948470844e-03,9.459411392310536071e-01
7.903000000000000469e+00,4.086255500121427353e-01,-9.721819039395677292e-03,9.459698769651330164e-01
7.903999999999999915e+00,4.158390589284681749e-01,-9.771768013261345268e-03,9.459986610048068956e-01
7.905000000000000249e+00,4.234078265094458615e-01,-9.821264607577380457e-03,9.460274921184567143e-01
7.906000000000000583e+00,4.313276871736274609e-01,-9.870301033586451056e-03,9.460563711559898392e-01
7.907000000000000028e+00,4.395939437498601610e-01,-9.918869152920804788e-03,9.460852994270921856e-01
7.908000000000000362e+00,4.482013714210116850e-01,-9.966960482314211542e-03,9.461142777595216158e-01
7.908999999999999808e+00,4.571442222511048481e-01,-1.001456619884313198e-02,9.461433068552540515e-01
7.910000000000000142e+00,4.664162302918424263e-01,-1.006167714569259145e-02,9.461723871510028250e-01
7.911000000000000476e+00,4.760106172632723176e-01,-1.010828383844164860e-02,9.462015197742063011e-01
7.911999999999999922e+00,4.859200988034502178e-01,-1.015437647186279678e-02,9.462307059221060079e-01
7.913000000000000256e+00,4.961368912808789000e-01,-1.019994492722900090e-02,9.462599454446550817e-01
7.914000000000000590e+00,5.066527191629998095e-01,-1.024497878012162362e-02,9.462892394265315366e-01
7.915000000000000036e+00,5.174588229337618861e-01,-1.028946730873179886e-02,9.463185883561825440e-01
7.916000000000000369e+00,5.285459675522780065e-01,-1.033339950264738037e-02,9.463479925255328107e-01
7.916999999999999815e+00,5.399044514442883358e-01,-1.037676407211694969e-02,9.463774531673500023e-01
7.918000000000000149e+00,5.515241160176930224e-01,-1.041954945778192886e-02,9.464069705968781721e-01
7.919000000000000483e+00,5.633943556924702056e-01,-1.046174384086722906e-02,9.464365459261102620e-01
7.919999999999999929e+00,5.755041284352723219e-01,-1.050333515382038778e-02,9.464661791605505359e-01
7.921000000000000263e+00,5.878419667881767952e-01,-1.054431109138868200e-02,9.464958712890697567e-01
7.922000000000000597e+00,6.003959893803825221e-01,-1.058465912212310650e-02,9.465256226815441654e-01
7.923000000000000043e+00,6.131539129117260511e-01,-1.062436650029775428e-02,9.465554337905847104e-01
7.924000000000000377e+00,6.261030645958736152e-01,-1.066342027823250632e-02,9.465853047999572834e-01
7.924999999999999822e+00,6.392303950506050825e-01,-1.070180731900661868e-02,9.466152364291121613e-01
7.926000000000000156e+00,6.525224916226081140e-01,-1.073951430955028159e-02,9.466452291384539475e-01
7.927000000000000490e+00,6.659655921331426587e-01,-1.077652777410078276e-02,9.466752834903737757e-01
7.927999999999999936e+00,6.795455990308554295e-01,-1.081283408800943688e-02,9.467053996092491541e-01
7.929000000000000270e+00,6.932480939376914897e-01,-1.084841949188524932e-02,9.467355782380710849e-01
7.930000000000000604e+00,7.070583525729727814e-01,-1.088327010606052365e-02,9.467658193803207833e-01
7.931000000000000050e+00,7.209613600408838474e-01,-1.091737194536362109e-02,9.467961236355603161e-01
7.932000000000000384e+00,7.349418264659386413e-01,-1.095071093418345173e-02,9.468264912995053573e-01
7.932999999999999829e+00,7.489842029603323015e-01,-1.098327292181002293e-02,9.468569224105569671e-01
7.934000000000000163e+00,7.630726979076265515e-01,-1.101504369803507632e-02,9.468874171270378337e-01
7.935000000000000497e+00,7.771912935457805371e-01,-1.104600900899642933e-02,9.469179757357616412e-01
7.935999999999999943e+00,7.913237628331157847e-01,-1.107615457324942314e-02,9.469485985111897319e-01
7.937000000000000277e+00,8.054536865800024925e-01,-1.110546609804853591e-02,9.469792854349271538e-01
7.937999999999999723e+00,8.195644708289363534e-01,-1.113392929582200305e-02,9.470100372053137372e-01
7.939000000000000057e+00,8.336393644654244151e-01,-1.116152990082197247e-02,9.470408532973930704e-01
7.940000000000000391e+00,8.476614770417019162e-01,-1.118825368593257333e-02,9.470717341910306342e-01
7.940999999999999837e+00,8.616137967954604626e-01,-1.121408647961796672e-02,9.471026802464329597e-01
7.942000000000000171e+00,8.754792088450439325e-01,-1.123901418299234033e-02,9.471336908612097982e-01
7.943000000000000504e+00,8.892405135425995866e-01,-1.126302278699358762e-02,9.471647665335912736e-01
7.943999999999999950e+00,9.028804449666842924e-01,-1.128609838964219313e-02,9.471959073999512979e-01
7.945000000000000284e+00,9.163816895355024750e-01,-1.130822721336688895e-02,9.472271131913833075e-01
7.945999999999999730e+00,9.297269047215077631e-01,-1.132939562237827991e-02,9.472583835418904030e-01
7.947000000000000064e+00,9.428987378487420079e-01,-1.134959014007173514e-02,9.472897187996525137e-01
7.948000000000000398e+00,9.558798449533058017e-01,-1.136879746644065513e-02,9.473211188848283948e-01
7.948999999999999844e+00,9.686529096880727163e-01,-1.138700449548118651e-02,9.473525834325138284e-01
7.950000000000000178e+00,9.812006622519350296e-01,-1.140419833256940685e-02,9.473841125079603964e-01
7.951000000000000512e+00,9.935058983245632636e-01,-1.142036631179201359e-02,9.474157058722700864e-01
7.951999999999999957e+00,1.005551497987100085e+00,-1.143549601321143874e-02,9.474473636598272908e-01
7.953000000000000291e+00,1.017320444609449703e+00,-1.144957528004650685e-02,9.474790850030693212e-01
7.953999999999999737e+00,1.028795843684819022e+00,-1.146259223574953856e-02,9.475108699992892403e-01
7.955000000000000071e+00,1.039960941592035448e+00,-1.147453530096117016e-02,9.475427185992586487e-01
7.956000000000000405e+00,1.050799144266566731e+00,-1.148539321032383299e-02,9.475746305533835345e-01
7.956999999999999851e+00,1.061294035760891097e+00,-1.149515502913536769e-02,9.476066053277387713e-01
