freq_Hz,PSD
6.176757812500680700e+01,5.789333780719838828e-21
6.201171875000682832e+01,5.653084876203456691e-21
6.225585937500685674e+01,5.520565258275672039e-21
6.250000000000688516e+01,5.391658620090897625e-21
6.274414062500691358e+01,5.266252729910290252e-21
6.298828125000694200e+01,5.144239262147245062e-21
6.323242187500696332e+01,5.025513647943743893e-21
6.347656250000699174e+01,4.909974945730130917e-21
6.372070312500702016e+01,4.797525684165472260e-21
6.396484375000704858e+01,4.688071744821813713e-21
6.420898437500707701e+01,4.581522181649675169e-21
6.445312500000710543e+01,4.477789212444940397e-21
6.469726562500713385e+01,4.376787974286211634e-21
6.494140625000714806e+01,4.278436507565795192e-21
6.518554687500717648e+01,4.182655601062447701e-21
6.542968750000720490e+01,4.089368698314006393e-21
6.567382812500723333e+01,3.998501786048891846e-21
6.591796875000726175e+01,3.909983339868441466e-21
6.616210937500729017e+01,3.823744201182247506e-21
6.640625000000731859e+01,3.739717478725438213e-21
6.665039062500734701e+01,3.657838500607043339e-21
6.689453125000737543e+01,3.578044713805733463e-21
6.713867187500738964e+01,3.500275590959854204e-21
6.738281250000741807e+01,3.424472610385390726e-21
6.762695312500744649e+01,3.350579105192212550e-21
6.787109375000747491e+01,3.278540278903045670e-21
6.811523437500750333e+01,3.208303076871380511e-21
6.835937500000753175e+01,3.139816153210275987e-21
6.860351562500756017e+01,3.073029804612528965e-21
6.884765625000758860e+01,3.007895907802221889e-21
6.909179687500761702e+01,2.944367871596324919e-21
6.933593750000763123e+01,2.882400575891784867e-21
6.958007812500765965e+01,2.821950318263823809e-21
6.982421875000768807e+01,2.762974783754711121e-21
7.006835937500771649e+01,2.705432964083480068e-21
7.031250000000774492e+01,2.649285142841201249e-21
